Наименование,Зарплата,Компания,Локация,Описание,Доп. инфа
Python Developer,,ТОО InformConsulting,"Алматы, Москва","Разработка интересных проектов с нуля в команде. Клиенты различных внутренних сервисов (админки и дэшборды). Веб-приложения для новых продуктов компании. Опыт разработки на Python от 3-х лет. Опыт работы с PostgreSQL, MySQL, MongoDB. Знание Django и/или Flask.",ТОО InformConsulting
Integration Engineer/DevOps Engineer,от 250000 KZT,ТОО Софит Ко,Алматы,Знание любого языка программирования на. Среднем уровне (Javascript/Python будет. Плюсом). Опыт работы с базами данных  знание SQL на.,ТОО Софит Ко
Преподаватель Python,,ТОО JustCode,Алматы,"Обучение программированию на языке Python, основной упор в курсе на backend разработку на фреймворке django. Проверка ДЗ учеников.Python 3.7. Знание теории алгоритмов и структуры данных. Знание синтаксиса языка программирования Python. Framework Django на достаточном уровне, чтобы...",ТОО JustCode
Python (Django) / Node.js Backend Developer,300000 – 800000 KZT,ТОО Arcana Inc.,Алматы,"Поднимать Backend приложения на Python (Django) и на Node.js. Обучать молодых специалистов и направлять их. Делать код ревью. Опыт работы более 3 лет. Умение подавать материал молодым специалистам. Опыт работы с Docker, Kuber. Умение настраивать CI/CD.",ТОО Arcana Inc.
QA Engineer,1000 – 2500 USD,ИП КАПТАГАЕВ М.Т,Алматы,"THE COMPANY. At Star, we connect strategy, insights, design and engineering into a seamless workflow devised to support our clients...Basic experience with linux (terminal commands).  Ability to write simple automation scripts in any language (JS or Python preferable); and.",ИП КАПТАГАЕВ М.Т
Fullstack-разработчик (React/Vue/Python),300000 – 800000 KZT,ТОО Regnote,Алматы,"Regnote - веб приложение, позволяющее медицинским клиникам вести весь учет процессов, записей, материалов в одном месте, так же пациенты могут записаться...опыт работы с Vue.js или React. - опыт работы с одной из популярных СУБД (MySQL, PostgreSQL, MongoDB). - опыт работы с Python...",ТОО Regnote
Developer,до 350000 KZT,ТОО PHONETIC,"Алматы, Москва",Разработка ветки диалога в системе. Создание правил распознавания. Скрипт-дизайнер даёт алгоритм построения разговора. После чего требуется с...Python. Django/Flask/FastAPI [один из фреймворков]. Регулярные выражения. Изучить API партнёра в процессе работы. Английский̆ язык.,ТОО PHONETIC
Technical support engineer (2nd line),,Weigandt-consulting,Алматы,"Incidents, tasks, and problem resolution. Collecting, preparing, and cleansing of data for incidents following the instructions. Documentation of already realized......and understand the logic of program components written on Java, Pro*C, Linux shell (KSH, Bash, etc.), PL/SQL, Python.",Можно работать из дома
DevOps-инженер,,ТОО AVIATA.KZ,Алматы,Одна из лидирующих компаний в области бронирования и продажи авиа и жд билетов в Казахстане. Мониторинг и обслуживание продакшн инфраструктуры. Знание Git и Gitlab CI/CD. Умение писать скрипты на bash и python. Опыт работы в Agile команде.,ТОО AVIATA.KZ
Go Developer,от 720000 KZT,ООО Solutions Factory Consulting,Алматы,"...с time-series данными. End to end тестирование с помощью Cypress. Интерес к машинному обучению с использованием TensorFlow, Python, Keras.Требуемые навыки: Высшее техническое образование. Знание английского языка (письменного и устного) на уровне не менее intermediate, желание совершенствовать знания.",ООО Solutions Factory Consulting
Senior Power BI Developer,от 3500 USD,ИП Николаев Артем Николаевич,Алматы,"This Senior SQL/Power BI Developer position will be responsible for producing variety of reports, dashboards, metrics, and Key Performance...Experience with programming languages like Python. Must have: MINIMAL level of English Pre-Advanced (B2) and higher - MUST.",ИП Николаев Артем Николаевич
Go (Golang) Backend Developer,до 2000000 KZT,evrone.ru,Алматы,"Влиться в одну из существующих команд разработки и участвовать в разнообразных проектах компании. Премии за привлечение новых сотрудников и новых...Мы хотим видеть в вас: Знания, опыт коммерческой и командной разработки на Golang от 2-3 лет. Опыт использования баз...",Можно работать из дома
MDM Аналитик (Master Data Management),,АО Aitas KZ,Алматы,"Основная задача – сбор и анализ данных из разных источников, работа напрямую с данными, участие в проектах по автоматизации процессов, проработке...Знание SQL (MS SQL/ PostgreSQL). Опыт разработки ETL процессов. Знание Python (будет преимуществом). Опыт участия в проектах построения корпоративных хранилищ...",АО Aitas KZ
Senior Data Engineer,,ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),Алматы,"Участие в разработке и реализации архитектуры Единого Пространства. Данных компании. Обеспечение доступности данных в регламентные сроки. Обеспечение качества данных, разработка...Знания и опыт реализации моделей данных Star, Snowflake, Data Vault. Знания python, Java и/или Scala. Опыт работы со стеком...",ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL)
"Стажер Backend разработчик (Junior, intern)",,ТОО GLOBAL Innotion,Алматы,"Участие в разработке веб-приложений. Разрабатывать и развивать бэкенд платформ Компании и мобильных приложений (новые фичи, доработка текущих, работа над...Знание ООП. Знание Rest API. Знание языка Python или Node.js. PostgreSql. Будет плюсом знание МоngoDB. Желание много работать и развиваться.",ТОО GLOBAL Innotion
Программист-стажер,,ТОО Globerce Inc.,Алматы,"Программирование, разработка. Web инженер.Базовые знания необходимых в работе технологий и языков программирования : Python (Django), Java(Spring), JavaScript, HTML, CSS, ReactJS). Опыт создания программ...",ТОО Globerce Inc.
